,id,Browser,n1,n2,n3,n4,e1,e2,e3,e4,a1,a2,a3,a4,1,c1,c2,c3,c4,i1,i2,2,i3,i4,age,sex,country
0,de1f233104,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.438",1,3,2,3,3,3,3,3,3,3,3,3,0,1,3,2,1,2,2,4,2,2,24,CONSENT REVOKED,CONSENT REVOKED
0,791356fbc0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",0,2,0,3,4,3,3,3,4,2,3,3,0,3,0,0,4,0,4,4,4,0,27,Male,Italy
0,5b59359273,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36 OPR/75.0.3969.243",2,4,2,3,4,0,4,1,1,1,3,3,0,2,1,4,3,1,3,4,2,2,20,Male,Portugal
0,70ebc141f6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2,3,2,2,1,2,1,3,2,2,3,2,0,2,2,3,1,2,2,4,3,2,22,Male,Poland
0,e82f214fd9,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",3,3,1,4,2,3,1,4,4,2,2,3,0,4,3,4,3,1,3,4,3,2,26,Male,Poland
0,379b98dbc1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",1,2,2,3,2,1,2,2,2,2,2,2,0,2,1,2,3,0,3,4,3,1,47,Male,Greece
0,1b50c38a0d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.438",3,2,1,2,2,2,2,4,3,1,4,3,0,2,2,2,3,0,4,4,1,1,19,CONSENT REVOKED,CONSENT REVOKED
0,83cbfb6466,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:88.0) Gecko/20100101 Firefox/88.0,1,3,2,3,3,1,2,2,4,1,3,4,0,4,3,0,4,0,3,4,2,2,38,CONSENT REVOKED,CONSENT REVOKED
0,0d9224dfab,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",3,4,1,1,2,2,2,3,1,2,3,3,0,4,1,2,3,0,4,4,3,0,22,Female,United Kingdom
0,aa71e22027,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",0,1,1,4,1,3,1,4,2,1,4,3,0,2,1,1,4,0,4,4,2,1,24,Male,Poland
0,b7b46fad20,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:88.0) Gecko/20100101 Firefox/88.0,2,3,1,2,3,1,3,1,1,2,3,2,0,2,3,3,3,0,4,4,4,0,41,CONSENT REVOKED,CONSENT REVOKED
0,d83e18f8df,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",3,3,2,1,2,2,1,2,3,1,3,2,0,1,2,3,2,2,2,4,2,3,19,Female,Poland
0,d8f2e2601f,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0,0,1,4,4,2,1,2,2,2,2,2,2,0,4,0,0,3,2,2,4,3,1,36,Male,United Kingdom
0,96970b9265,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46",1,2,1,2,4,0,4,0,0,2,4,2,0,1,2,2,3,1,2,4,3,2,45,Male,United Kingdom
0,369d45b17f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",3,3,3,2,2,2,2,1,1,1,3,3,0,3,1,1,3,2,2,4,3,2,22,Female,Poland
0,10843f5b29,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36",2,3,3,2,2,3,1,1,1,1,3,3,0,3,0,1,2,0,2,4,3,1,19,Female,Portugal
0,9337854f86,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",1,2,1,3,4,1,2,2,1,1,4,3,0,3,0,1,2,2,2,4,3,2,22,Male,Portugal
0,881ea83ee9,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36",1,2,1,3,4,0,3,1,3,2,2,3,0,1,0,0,1,2,2,4,3,1,21,Male,Portugal
